rank,id,title,consoleName,consoleId,totalPlayers,casualPlayers,hardcorePlayers,numAchievements,points,genre,developer,publisher,released
141,2360,"Bucky O'Hare","NES/Famicom",7,1694,1694,1694,24,0,"2D Platforming","Konami","Konami","1992-01-01"
142,1569,"Batman Returns","NES/Famicom",7,1686,1686,1686,26,0,"Beat 'em Up","Konami","Konami","1993-01-01"
143,1958,"Snake Rattle N Roll","NES/Famicom",7,1686,1686,1686,42,0,"2.5D Platforming","Rare","Nintendo","1990-07-01"
144,4094,"Antarctic Adventure","NES/Famicom",7,1671,1671,1671,20,0,"Racing, Arcade","Konami","Konami","1985-04-22"
145,1626,"Code Name: Viper","NES/Famicom",7,1633,1633,1633,39,0,"2D Platforming","Arc System Works, Capcom","Capcom","1990-03-01"
146,1588,"Bonk's Adventure","NES/Famicom",7,1619,1619,1619,17,0,"2D Platforming","AI","","1994-01-01"
147,1505,"Trojan","NES/Famicom",7,1618,1618,1618,31,0,"Beat 'em Up","Capcom","Capcom","1986-12-24"
148,1725,"Gremlins 2: The New Batch","NES/Famicom",7,1607,1607,1607,17,0,"2D Platforming","Sunsoft","Sunsoft","1990-10-01"
149,2238,"Pin Bot","NES/Famicom",7,1602,1602,1602,40,0,"Pinball","Rare","Nintendo","1990-04-01"
150,4618,"The Flintstones: The Surprise at Dinosaur Peak!","NES/Famicom",7,1592,1592,1592,45,0,"2D Platforming","Taito","Taito","1994-02-24"
151,3814,"EarthBound Beginnings","NES/Famicom",7,1589,1589,1589,47,0,"Turn-Based RPG","APE | Creatures, Nintendo, Pax Softnica","Nintendo","1989-07-27"
152,2432,"Gradius II","NES/Famicom",7,1578,1578,1578,18,0,"Shoot 'em Up","Konami","Konami","1988-12-16"
153,2361,"~Unlicensed~ Action 52","NES/Famicom",7,1563,1563,1563,109,0,"Minigames","Active Enterprises","Active Enterprises","1991-01-01"
154,2090,"Wrecking Crew","NES/Famicom",7,1550,1550,1550,81,0,"","Intelligent Systems","Nintendo","1985-06-18"
155,5060,"Gargoyle's Quest II: The Demon Darkness","NES/Famicom",7,1544,1544,1544,23,0,"Action Adventure/Horror","Capcom","Capcom","1992-07-17"
156,1535,"Air Fortress","NES/Famicom",7,1543,1543,1543,37,0,"","HAL Laboratory","HAL Laboratory","1989-09-01"
157,1908,"Renegade","NES/Famicom",7,1537,1537,1537,42,0,"Beat 'em Up","Technōs Japan","Taito, Technōs Japan","1987-04-01"
