gameId,gameTitle,md5,romName,labels,patchUrl,region
11959,64th. Street: A Detective Story,ed59483551b32e69c28876fd9d2f1872,64street.7z <64th. Street - A Detective Story (World)>,fbneo,,world
11768,Shock Troopers: 2nd Squad,4af54168a800f0ff32f7f9377d5329a9,shocktr2.7z <Shock Troopers - 2nd Squad>,fbneo,,unknown
11993,Battle Circuit,022eca90bcdac21292ac15906e9a433d,batcir.7z <Battle Circuit (970319 Euro)>,fbneo,,unknown
13808,Robo Army,13b4d77d6491b9bfb59d7841986d5ea4,roboarmy.7z <Robo Army (set 1)>,fbneo,,unknown
12032,The King of Fighters '99: Millennium Battle,1653c67c602403333d94dd921737ce8e,kof99h.7z <The King of Fighters '99 - Millennium Battle (NGH-2510)>,fbneo,,unknown
17678,Spider-Man: The Videogame,b941a3d48abe86d690a93261002f6e2d,spidman.7z <Spider-Man: The Videogame (World)>,fbneo,,world
11853,Shinobi,37fc2767ab1c4826c736f1fced9a4ae7,"shinobi.7z <Shinobi (set 6, System 16A, unprotected)>",fbneo,,unknown
13784,King of the Monsters,057827b74ba1259423d9c00de10b4300,kotm.7z <King of the Monsters (set 1)>,fbneo,,unknown
14654,Ultimate Mortal Kombat 3,c2c4318c6acb302ec08b9a28dc5d3e26,umk3.7z <Ultimate Mortal Kombat 3 (rev 1.2)>,fbneo,,unknown
11946,Mario Bros.,de2f15d014d40b93578d255e6221fd60,"mario.7z <Mario Bros. (US, Revision G)>",fbneo,,unknown
12261,Street Fighter,60d31eb37595dd44584be5ef363283e3,"sf.7z <Street Fighter (US, set 1)>",fbneo,,unknown
12380,Strikers 1945,e64a8b99a4d2a623b293ff674e2942ea,s1945.7z <Strikers 1945 (World)>,fbneo,,world
12139,Galaxian,e88b34d7b5e2d8277f1fa97e9a647fba,galaxian.7z <Galaxian (Namco set 1)>,fbneo,,unknown
15015,Centipede,3e30300051e145abaf2164a53f107bb7,centiped.7z <>,fbneo,,unknown
12005,Detana!! TwinBee,87cb40111232c62b2e0c747b0419a6fb,"blswhstl.7z <Bells & Whistles (World, version L)>",fbneo,,world
11942,X-Men vs. Street Fighter,a364a6bcde97a8910c2f3fef4b1e4dfe,xmvsfb.7z <X-Men vs Street Fighter (961023 Brazil)>,fbneo,,unknown
11858,Bang Bead,f19f4133f3a29af99d6f8bd028dd4fc3,bangbead.7z <Bang Bead>,fbneo,,unknown
4845,Pretty Soldier Sailor Moon,d68fed6d32c4252699e598d07c816371,"sailormnu.7z <Pretty Soldier Sailor Moon (ver. 95/03/22B, USA)>",fbneo,,usa
15000,Batman,ec0e2603172c73a8b644bb9456c1ff6e,batman.7z <Batman>,fbneo,,unknown
12033,The King of Fighters 2000,69fa9fb02b9fe054c98d9dee8729ce92,kof2000n.7z <The King of Fighters 2000 (not encrypted)>,fbneo,,unknown
12030,The King of Fighters '96,23438b2c55800e5b4e8ab86f525b379c,kof96h.7z <The King of Fighters '96 (NGH-214)>,fbneo,,unknown
12082,Double Dragon,a7d9fc7dc88e60d2401f1d89dca4476a,ddragon.7z <Double Dragon (Japan)>,fbneo,,japan
12149,Ghosts 'n Goblins,4dc5c37d2056ea8be1f968ebecc66ea0,makaimurg.7z <Makai-Mura (Japan revision G)>,fbneo,,unknown
12661,Double Dragon (Neo-Geo),c195a4aab39ed2ce2cd7011356a15f29,doubledr.7z <Double Dragon (Neo-Geo)>,fbneo,,unknown
13566,Pachinko Sexy Reaction,ed6b61fc3c23bab78e12cf3b49f6df9f,sxyreact.7z <Pachinko Sexy Reaction (Japan)>,fbneo,,japan
11979,U.N. Squadron,0006c5e727223e4434423bfa12ea0dc8,area88.7z <Area 88 (Japan)>,fbneo,,japan
17469,SegaSonic the Hedgehog,bb5459bf19132d4dc1340654c17331df,"sonic.7z <SegaSonic The Hedgehog (Japan, rev. C)>",fbneo,,japan
13250,Night Slashers,1901091290afe5c3996de681d75e7520,"nslashers.7z <Night Slashers (Over Sea Rev 1.2, DE-0397-0 PCB)>",fbneo,,unknown
13815,Super Sidekicks 3: The Next Glory,2f2de150d937ca7de1ecae79957c5281,ssideki3.7z <Super Sidekicks 3 - The Next Glory / Tokuten Ou 3 - eikou e no michi>,fbneo,,unknown
11760,Zed Blade,ad7690ec619673225f1e0f7f265d5fa8,zedblade.7z <Zed Blade / Operation Ragnarok>,fbneo,,unknown
