rank,id,title,consoleName,consoleId,totalPlayers,casualPlayers,hardcorePlayers,numAchievements,points,genre,developer,publisher,released
87,15351,"LEGO Star Wars: The Complete Saga","Nintendo DS",18,444,444,444,50,0,"Action-Adventure","TT Fusion","LucasArts | Lucasfilm","2007-11-06"
88,4667,"Dementium: The Ward","Nintendo DS",18,441,441,441,24,0,"Survival Horror","Renegade Kid","Gamecock Media Group, SouthPeak Games","2007-10-31"
89,16713,"MapleStory DS","Nintendo DS",18,441,441,441,95,0,"2D Platforming, Action RPG","Nexon","Nexon, Nintendo","2010-04-15"
90,15375,"~Hack~ Another Super Mario 3D","Nintendo DS",18,437,437,437,65,0,"3D Platforming, Collect-a-thon","Hacker - Newer Team","Hack - Super Mario 64 DS","2014-06-26"
91,14815,"Mario vs. Donkey Kong: Mini-Land Mayhem!","Nintendo DS",18,437,437,437,49,0,"Puzzle","","Nintendo","2010-11-14"
92,18333,"TrackMania DS","Nintendo DS",18,433,433,433,230,0,"Arcade Racing","Firebrand Games","Focus Home Interactive","2008-11-14"
93,16152,"Digimon World Dusk","Nintendo DS",18,418,418,418,75,0,"","BEC","Bandai Namco","2007-03-29"
94,1378,"Metroid Prime: Hunters","Nintendo DS",18,409,409,409,50,0,"First-Person Shooter","","Nintendo","2006-03-20"
95,15350,"LEGO Star Wars II: The Original Trilogy","Nintendo DS",18,408,408,408,28,0,"","","","2006-09-12"
96,9105,"Advance Wars: Days of Ruin","Nintendo DS",18,404,404,404,119,0,"Turn-Based Strategy","Intelligent Systems","Nintendo","2008-01-21"
97,14816,"WarioWare: D.I.Y.","Nintendo DS",18,392,392,392,90,0,"Minigames","","Nintendo","2009-04-29"
98,6091,"Bejeweled 3","Nintendo DS",18,391,391,391,76,0,"Tile Matching","PopCap Games, Griptonite Games","PopCap Games","2011-10-19"
99,9496,"Flower, Sun, and Rain: Murder and Mystery in Paradise","Nintendo DS",18,385,385,385,51,0,"Adventure","h.a.n.d., Grasshopper Manufacture","Rising Star Games","2008-03-06"
100,6907,"Trauma Center: Under the Knife","Nintendo DS",18,372,372,372,51,0,"Simulation","Atlus","Atlus","2005-10-04"
101,17216,"N+","Nintendo DS",18,370,370,370,255,0,"2D Platforming","Metanet Software, SilverBirch Studios","Atari","2008-08-26"
102,14835,"~Homebrew~ EunHye DS","Nintendo DS",18,368,368,368,6,0,"Jigsaw Puzzle","Ryu Seung-Ryul","Ryu Seung-Ryul","2007-10-01"
103,9831,"Professor Layton and the Unwound Future","Nintendo DS",18,366,366,366,28,0,"","","","2008-11-27"
104,17744,"Yu-Gi-Oh! GX Spirit Caller","Nintendo DS",18,366,366,366,149,0,"Collectible Card Game","Konami","Konami","2006-11-30"
105,11788,"Golden Sun: Dark Dawn","Nintendo DS",18,364,364,364,151,0,"Turn-Based RPG","Camelot Software Planning","Nintendo","2010-11-29"
106,16297,"Ace Attorney Investigations 2: Prosecutor's Gambit","Nintendo DS",18,361,361,361,78,0,"Visual Novel","Capcom","Capcom","2011-02-03"
107,9734,"Cartoon Network Racing","Nintendo DS",18,357,357,357,44,0,"Kart Racing","Firebrand Games","The Game Factory","2006-12-04"
108,1226,"Osu! Tatakae! Ouendan","Nintendo DS",18,350,350,350,70,0,"Rhythm","iNiS","Nintendo","2005-07-28"
109,15428,"Jump Ultimate Stars","Nintendo DS",18,345,345,345,54,0,"","","","2006-11-23"
110,9914,"Etrian Odyssey","Nintendo DS",18,344,344,344,70,0,"Dungeon Crawl, Turn-Based RPG","Atlus","Atlus, Nintendo","2007-01-18"
111,9260,"Club Penguin: Elite Penguin Force","Nintendo DS",18,341,341,341,29,0,"Point-and-Click Adventure","1st Playable Productions","Disney Interactive Studios","2008-11-25"
112,3110,"Retro Game Challenge 2","Nintendo DS",18,336,336,336,189,0,"Minigames","Indies Zero","Bandai Namco","2009-02-26"
