rank,id,title,consoleName,consoleId,totalPlayers,casualPlayers,hardcorePlayers,numAchievements,points,genre,developer,publisher,released
114,12029,"The King of Fighters '95","Arcade",27,1052,1052,1052,57,0,"2D Fighting","SNK","SNK","1995-07-01"
115,11900,"Mega Man 2: The Power Fighters","Arcade",27,1051,1051,1051,91,0,"2D Fighting","Capcom","Capcom","1996-08-01"
116,5645,"Gaia Crusaders","Arcade",27,1037,1037,1037,52,0,"Beat 'em Up","Noise Factory","Noise Factory","1999-07-01"
117,13802,"Samurai Shodown","Arcade",27,993,993,993,54,0,"2D Fighting","SNK","SNK","1993-07-01"
118,12175,"Hang-On","Arcade",27,969,969,969,20,0,"Racing","Sega","Sega","1985-01-01"
119,11772,"Street Fighter II: Champion Edition","Arcade",27,965,965,965,35,0,"2D Fighting","Capcom","Capcom","1991-01-01"
120,12364,"Riot City","Arcade",27,964,964,964,77,0,"Beat 'em Up","Westone","Sega","1991-01-01"
121,12002,"Black Tiger","Arcade",27,954,954,954,42,0,"2D Platforming","Capcom","Capcom, Romstar","1987-08-01"
122,11945,"Donkey Kong 3","Arcade",27,941,941,941,25,0,"","","Nintendo","1983-01-01"
123,12751,"DoDonPachi","Arcade",27,940,940,940,53,0,"Shoot 'em Up, Bullet Hell","CAVE Interactive","Atlus","1997-02-05"
124,12734,"Super Sidekicks 2: The World Championship","Arcade",27,937,937,937,23,0,"Sports - Football | Soccer","SNK","SNK","1994-04-01"
125,11812,"Street Fighter Alpha 3","Arcade",27,929,929,929,98,0,"2D Fighting","Capcom","Capcom","1998-08-01"
126,12491,"SegaSonic Cosmo Fighter Galaxy Patrol","Arcade",27,926,926,926,11,0,"","","","1993-03-01"
127,15003,"Tapper","Arcade",27,915,915,915,15,0,"Action","Marvin Glass and Associates","Midway, Sega","1984-02-01"
128,12008,"Blade Master","Arcade",27,912,912,912,56,0,"Beat 'em Up","Irem","Irem","1991-01-01"
129,15039,"Berzerk","Arcade",27,904,904,904,10,0,"","Stern Electronics","Stern Electronics","1980-11-12"
130,12560,"Wonder Boy","Arcade",27,903,903,903,28,0,"Action","","","1986-01-01"
131,12774,"Red Earth","Arcade",27,897,897,897,35,0,"2D Fighting","Capcom","Capcom","1996-11-21"
132,12342,"Prehistoric Isle in 1930","Arcade",27,893,893,893,27,0,"Shoot 'em Up","SNK","SNK","1989-05-01"
133,12052,"Cabal","Arcade",27,891,891,891,34,0,"Gallery Shooter","TAD","Fabtek","1988-09-01"
134,12114,"ESP Ra.De.","Arcade",27,891,891,891,36,0,"Shoot 'em Up","CAVE Interactive","Atlus","1998-04-14"
135,11836,"Willow","Arcade",27,890,890,890,24,0,"2D Platforming","Capcom","Capcom","1988-01-01"
136,12792,"Last Resort","Arcade",27,872,872,872,23,0,"Shoot 'em Up","SNK","SNK","1992-03-01"
137,12173,"Gyruss","Arcade",27,867,867,867,23,0,"Shoot 'em Up","Konami","Konami","1983-01-01"
138,12180,"Hammerin' Harry","Arcade",27,867,867,867,23,0,"2D Platforming","Irem","Irem","1990-12-01"
139,11774,"Aero Fighters 2 (AES)","Arcade",27,865,865,865,42,0,"Shoot 'em Up","Video System","SNK","1994-07-18"
140,12442,"Superman","Arcade",27,861,861,861,8,0,"Beat 'em Up","Taito","Taito","1989-02-01"
141,12152,"G.I. Joe: A Real American Hero","Arcade",27,860,860,860,22,0,"Rail Shooter","Konami","Konami","1992-01-01"
142,14880,"Demon Front","Arcade",27,859,859,859,32,0,"","IGS","IGS","2002-06-25"
143,11927,"Michael Jackson's Moonwalker","Arcade",27,855,855,855,17,0,"Beat 'em Up","Sega","Sega","1990-07-20"
144,28948,"Muchi Muchi Pork!","Arcade",27,847,847,847,28,0,"Shoot 'em Up, Bullet Hell","CAVE Interactive","AMI","2007-04-26"
145,12075,"Darius","Arcade",27,843,843,843,40,0,"Shoot 'em Up","","","1987-01-01"
146,13819,"Thrash Rally","Arcade",27,823,823,823,18,0,"Arcade Racing","ADK","ADK","1991-11-01"
147,12219,"Mighty! Pang","Arcade",27,820,820,820,62,0,"Action","Mitchell","Mitchell, Capcom","2000-11-01"
148,18684,"Gun Survivor 2 BIOHAZARD CODE: Veronica","Arcade",27,815,815,815,41,0,"First-Person Shooter, Horror","Capcom","Capcom","2001-07-01"
149,28949,"Akai Katana","Arcade",27,810,810,810,26,0,"Shoot 'em Up, Bullet Hell","CAVE Interactive","CAVE Interactive","2010-08-20"
150,15791,"Gunbarich","Arcade",27,806,806,806,27,0,"Action (Ball & Paddle)","Psikyo","Psikyo","2001-06-01"
151,12383,"Sly Spy","Arcade",27,790,790,790,26,0,"","Data East","Data East","1989-07-01"
152,12236,"Snow Bros.: Nick & Tom","Arcade",27,786,786,786,22,0,"","Toaplan","Toaplan, Romstar, Dooyong","1990-04-01"
153,15017,"Night Driver","Arcade",27,781,781,781,6,0,"Racing","Atari","Atari","1976-10-01"
154,11813,"Three Wonders | Wonder 3","Arcade",27,777,777,777,66,0,"Minigames","Capcom","Capcom","1991-07-01"
155,13825,"World Heroes Perfect","Arcade",27,768,768,768,74,0,"2D Fighting","ADK","SNK","1995-05-01"
156,14887,"Ketsui: Kizuna Jigoku Tachi","Arcade",27,763,763,763,22,0,"Shoot 'em Up","CAVE Interactive","AMI","2003-01-01"
157,13251,"Captain America and the Avengers","Arcade",27,747,747,747,24,0,"Beat 'em Up","Data East","Data East","1991-10-01"
158,13761,"Breaker's","Arcade",27,739,739,739,33,0,"2D Fighting","Visco","Visco","1996-03-01"
159,13811,"Soccer Brawl","Arcade",27,735,735,735,30,0,"Sports (Football / Soccer)","SNK","SNK","1992-02-01"
160,11985,"Alien Storm","Arcade",27,731,731,731,22,0,"","Sega","Sega","1990-04-25"
161,11941,"Dyna Gear","Arcade",27,724,724,724,17,0,"Run & Gun","Scarab","Sammy","1994-01-01"
162,11955,"Strider","Arcade",27,715,715,715,22,0,"","Capcom","Capcom","1989-01-01"
163,13859,"Espgaluda","Arcade",27,711,711,711,27,0,"Shoot 'em Up, Bullet Hell","CAVE Interactive","AMI","2003-10-15"
164,13853,"Sengoku Blade: Sengoku Ace Episode II","Arcade",27,708,708,708,59,0,"Shoot 'em Up","Psikyo","Psikyo","1996-04-01"
165,12533,"Twinkle Star Sprites","Arcade",27,701,701,701,34,0,"Shoot 'em Up","ADK","SNK","1996-11-25"
166,11804,"Vendetta","Arcade",27,682,682,682,41,0,"Beat 'em Up","Konami","Konami","1991-01-01"
167,12255,"Street Fighter II Turbo: Hyper Fighting","Arcade",27,680,680,680,26,0,"2D Fighting","Capcom","Capcom","1992-12-01"
168,13758,"Andro Dunos","Arcade",27,671,671,671,32,0,"Shoot 'em Up","Visco","Visco","1992-06-15"
169,15882,"Tetris: The Absolute - The Grand Master 2 Plus","Arcade",27,670,670,670,84,0,"","Arika","Arika","2001-01-01"
170,12343,"Prehistoric Isle 2","Arcade",27,668,668,668,27,0,"Shoot 'em Up","Yumekobo","Yumekobo","1999-09-27"
171,17496,"Jurassic Park","Arcade",27,666,666,666,9,0,"","Sega","Sega","1994-02-01"
172,15758,"Crazy Kong","Arcade",27,664,664,664,42,0,"2D Platforming, Arcade","Falcon","Falcon","1981-01-01"
173,11949,"Punch-Out!!","Arcade",27,664,664,664,22,0,"Sports - Boxing","Nintendo","Nintendo","1984-02-17"
174,11754,"The King of Fighters 2003","Arcade",27,662,662,662,58,0,"2D Fighting","SNK","SNK","2003-03-11"
175,11798,"Street Fighter Alpha 2","Arcade",27,641,641,641,49,0,"2D Fighting","Capcom","Capcom","1996-01-01"
176,12481,"Pac-Mania","Arcade",27,634,634,634,35,0,"Maze Chase","Namco","","1987-12-01"
177,12040,"The Last Blade","Arcade",27,629,629,629,66,0,"2D Fighting","SNK","SNK","1997-12-05"
178,12310,"Mr. Do!","Arcade",27,628,628,628,22,0,"Maze Chase","Universal","Universal","1982-01-01"
179,12766,"Aero Fighters 3","Arcade",27,625,625,625,46,0,"Shoot 'em Up","Video System","SNK","1995-10-12"
180,11829,"Mars Matrix: Hyper Solid Shooting","Arcade",27,625,625,625,29,0,"Shoot 'em Up","Takumi","","2000-06-01"
181,28669,"Deathsmiles: Mega Black Label","Arcade",27,624,624,624,61,0,"Shoot 'em Up, Bullet Hell","CAVE Interactive","AMI","2008-10-06"
182,13567,"Pachinko Sexy Reaction 2","Arcade",27,603,603,603,10,0,"Casino, Pachinko","Sammy","Sammy","1999-01-01"
183,13384,"Zombie Raid","Arcade",27,603,603,603,23,0,"Rail Shooter","Sammy","Sammy","1995-01-01"
184,22131,"DoDonPachi DaiFukkatsu Black Label","Arcade",27,599,599,599,60,0,"Bullet Hell, Shoot 'em Up","CAVE Interactive","DEGICA","2010-01-20"
185,11948,"Arm Wrestling","Arcade",27,598,598,598,15,0,"Action","Nintendo","Nintendo","1985-05-01"
186,15009,"Asteroids","Arcade",27,596,596,596,12,0,"","Atari","Atari","1979-11-01"
187,11860,"Windjammers","Arcade",27,591,591,591,18,0,"Sports (Flying Disc)","Data East","Data East","1994-02-17"
188,18013,"Alien 3: The Gun","Arcade",27,588,588,588,15,0,"","Sega","Sega","1993-09-01"
189,12242,"Super Puzzle Fighter II Turbo","Arcade",27,585,585,585,39,0,"","Capcom","Capcom","1996-05-31"
190,13799,"Ninja Master's: Haou Ninou Chou","Arcade",27,583,583,583,60,0,"2D Fighting","ADK, Hamster","SNK","1996-05-26"
191,11870,"Cotton: Fantastic Night Dreams","Arcade",27,580,580,580,28,0,"Shoot 'em Up","Success","Sega","1991-03-01"
192,12724,"Real Bout Fatal Fury","Arcade",27,580,580,580,54,0,"2D Fighting","SNK","SNK","1995-12-21"
193,12452,"Alien Sector","Arcade",27,564,564,564,21,0,"Shoot 'em Up","Namco","Namco","1985-05-25"
194,12214,"Knights of the Round","Arcade",27,557,557,557,57,0,"Beat 'em Up","Capcom","Capcom","1991-11-27"
195,12860,"Raiden II","Arcade",27,549,549,549,41,0,"Shoot 'em Up","Seibu Kaihatsu","Fabtek","1993-11-01"
196,12067,"Crime City","Arcade",27,540,540,540,18,0,"","Taito","Taito","1989-09-01"
197,11944,"Donkey Kong Junior","Arcade",27,533,533,533,22,0,"2D Platforming, Arcade","Nintendo","Nintendo","1982-08-01"
198,11896,"Pooyan","Arcade",27,524,524,524,23,0,"Shoot 'em Up","Konami","Konami","1982-01-01"
199,15020,"Defender","Arcade",27,519,519,519,37,0,"Shoot 'em Up","Williams Entertainment","Williams Entertainment","1981-02-01"
200,12359,"Rambo III","Arcade",27,519,519,519,8,0,"Rail Shooter","Taito","Taito","1989-01-01"
