rank,id,title,consoleName,consoleId,totalPlayers,casualPlayers,hardcorePlayers,numAchievements,points,genre,developer,publisher,released
159,13053,"Monopoly","Game Boy Color",6,179,179,179,35,0,"Board Game","Sculptured Software | Iguana West","Majesco Entertainment","1998-12-11"
160,31955,"~Homebrew~ ~Demo~ The New Adventures of Sonic the Hedgehog","Game Boy Color",6,177,177,177,16,0,"2D Platforming","Oasys","Oasys","2024-08-13"
161,4940,"Xtreme Sports","Game Boy Color",6,176,176,176,36,0,"Extreme Sports","WayForward","Infogrames","2000-06-28"
162,8402,"Toy Story 2","Game Boy Color",6,175,175,175,46,0,"2D Platforming","Tiertex Design Studios","THQ","1999-11-01"
163,20371,"~Homebrew~ Super Jacked Up Tomato Face Johnson","Game Boy Color",6,174,174,174,14,0,"2D Platforming","Gumpy Function","Gumpy Function","2022-05-29"
164,14123,"Yu-Gi-Oh! Duel Monsters II: Dark Duel Stories","Game Boy Color",6,174,174,174,68,0,"Collectible Card Game","Konami","Konami","1999-07-08"
165,3671,"Pooh and Tigger's Hunny Safari","Game Boy Color",6,172,172,172,32,0,"2D Platforming","Digital Eclipse","Electronic Arts, Ubisoft","2001-12-01"
166,4526,"Beatmania GB: GotchaMix 2","Game Boy Color",6,171,171,171,133,0,"Rhythm","Konami","Konami","2000-09-28"
167,6556,"Woody Woodpecker: Escape from Buzz Buzzard Park","Game Boy Color",6,171,171,171,40,0,"2D Platforming","Planet Interactive","Cryo Interactive, DreamCatcher Interactive","2001-06-07"
168,6251,"~Hack~ The Legend of Zelda: Hard Awakening DX","Game Boy Color",6,168,168,168,15,0,"Action-Adventure","Jeville","Hack - The Legend of Zelda: Link's Awakening","2013-04-05"
169,11165,"Bugs Bunny and Lola Bunny: Operation Carrot Patch","Game Boy Color",6,165,165,165,18,0,"2D Platforming","Velez & Dubail Dev. Team","Infogrames","1999-01-01"
170,8539,"~Unlicensed~ Donkey Kong 5: The Journey of Over Time and Space","Game Boy Color",6,162,162,162,42,0,"","Sintax","BBD","2001-01-01"
171,30128,"~Homebrew~ Enceladus","Game Boy Color",6,161,161,161,7,0,"2D Platforming","Marco Windrich, Dominik Zimmer","Marco Windrich, Dominik Zimmer","2023-09-12"
172,32799,"Deer Hunter","Game Boy Color",6,161,161,161,13,0,"Sports - Hunting","Morning Star Multimedia","Vatical Entertainment","1999-12-22"
173,29047,"~Homebrew~ Hollow Knight Silksong","Game Boy Color",6,160,160,160,16,0,"Metroidvania","Elvies","Elvies","2021-07-28"
174,22650,"~Homebrew~ Repugnant Bounty","Game Boy Color",6,160,160,160,30,0,"Metroidvania","Starlab","Starlab","2022-12-23"
175,18811,"~Homebrew~ Go Catch 'Em","Game Boy Color",6,158,158,158,29,0,"Action","Health Potion Studios","Health Potion Studios","2022-02-25"
176,33660,"~Homebrew~ Oshinui Tune","Game Boy Color",6,157,157,157,14,0,"Shoot 'em Up","megamittz","megamittz","2025-05-07"
177,8461,"Spider-Man 2: The Sinister Six","Game Boy Color",6,153,153,153,19,0,"Action, 2D Platforming","Torus Games","Activision","2001-05-30"
178,30985,"Sylvanian Melodies: Mori no Nakama to Odori Masho!","Game Boy Color",6,147,147,147,31,0,"","","Epoch","2000-03-17"
179,6104,"Towers: Lord Baniff's Deceit","Game Boy Color",6,147,147,147,41,0,"CRPG, Dungeon Crawl","JV Enterprises","Telegames, Vatical Entertainment","1999-01-01"
180,7210,"Star Wars - Episode I: Racer","Game Boy Color",6,144,144,144,27,0,"Arcade Racing","LucasArts | Lucasfilm, Pax Softnica","Nintendo","1999-12-01"
181,8337,"Montezuma's Return","Game Boy Color",6,139,139,139,21,0,"2D Platformer","Tarantula Studios","Take-Two Interactive","1998-12-01"
182,29775,"~Homebrew~ Wishing Sarah","Game Boy Color",6,137,137,137,21,0,"Adventure","Asteristic Game Studio","Asteristic Game Studio","2020-05-12"
183,28383,"~Homebrew~ Remote Control Shuriken","Game Boy Color",6,136,136,136,6,0,"","Health Potion Studios","itch.io","2021-10-16"
