rank,id,title,consoleName,consoleId,totalPlayers,casualPlayers,hardcorePlayers,numAchievements,points,genre,developer,publisher,released
109,5093,"Mario Party Advance","Game Boy Advance",5,1402,1402,1402,63,0,"Board Game, Minigames","Hudson Soft","Nintendo","2005-01-13"
110,2598,"One Piece","Game Boy Advance",5,1389,1389,1389,38,0,"2D Platforming, Action-Adventure","Dimps","Bandai","2005-09-07"
111,527,"Shaman King: Master of Spirits","Game Boy Advance",5,1372,1372,1372,66,0,"Metroidvania","Konami","Konami","2004-11-09"
112,5030,"Digimon Battle Spirit","Game Boy Advance",5,1365,1365,1365,34,0,"Platform Fighting","Dimps","Bandai","2003-01-13"
113,5057,"The Urbz: Sims in the City","Game Boy Advance",5,1353,1353,1353,90,0,"Life Simulation","Griptonite Games","Electronic Arts","2004-11-09"
114,2531,"Doom II","Game Boy Advance",5,1337,1337,1337,52,0,"First-Person Shooter","Torus Games","Activision","2002-10-28"
115,2179,"Mega Man & Bass","Game Boy Advance",5,1318,1318,1318,74,0,"2D Platforming","Capcom","Capcom","2002-08-10"
116,5114,"Yu-Gi-Oh! World Championship Tournament 2004","Game Boy Advance",5,1302,1302,1302,80,0,"Strategy–Trading Card Game","Konami","Konami","2004-02-10"
117,7159,"The Polar Express","Game Boy Advance",5,1294,1294,1294,24,0,"Action-Adventure","Tantalus Interactive","THQ","2004-01-01"
118,3681,"Lady Sia","Game Boy Advance",5,1278,1278,1278,57,0,"2D Platforming","RFX Interactive","TDK Mediactive","2001-10-16"
119,503,"Tetris Worlds","Game Boy Advance",5,1246,1246,1246,35,0,"","3d6 Games","THQ","2001-09-05"
120,18464,"Classic NES Series: Metroid","Game Boy Advance",5,1236,1236,1236,34,0,"2D Platforming, Metroidvania","Nintendo","Nintendo","2004-08-10"
121,3653,"Klonoa: Empire of Dreams","Game Boy Advance",5,1216,1216,1216,15,0,"2D Platforming","Now Production","Infogrames, Namco","2001-07-19"
122,3618,"Crash Bandicoot Purple: Ripto's Rampage","Game Boy Advance",5,1179,1179,1179,57,0,"2D Platforming, Minigames","Vicarious Visions","Vivendi Universal Games","2004-06-03"
123,6818,"Sonic the Hedgehog: Genesis","Game Boy Advance",5,1169,1169,1169,25,0,"2D Platforming","Sega","Sega","2006-11-14"
124,22659,"~Homebrew~ Sips","Game Boy Advance",5,1129,1129,1129,10,0,"Incremental","Jono Shields","Jono Shields","2023-02-22"
125,2595,"Mother 1+2","Game Boy Advance",5,1111,1111,1111,181,0,"Compilation, Turn-Based RPG","APE | Creatures, HAL Laboratory","Nintendo","2003-06-20"
126,26278,"Who Wants to Be a Millionaire: Junior","Game Boy Advance",5,1103,1103,1103,7,0,"Game Show, Trivia","Hothouse Creations","Zoo Digital Publishing | Zushi Games","2005-09-30"
127,5501,"SpongeBob SquarePants: SuperSponge","Game Boy Advance",5,1070,1070,1070,12,0,"2D Platforming","Climax Studios","THQ","2001-11-08"
128,6011,"Mr. Driller 2","Game Boy Advance",5,1069,1069,1069,42,0,"Puzzle","Namco","Namco","2001-03-21"
129,2585,"Super Street Fighter II Turbo Revival","Game Boy Advance",5,1060,1060,1060,36,0,"2D Fighting","Capcom","Capcom","2001-10-30"
130,4690,"Iridion 3D","Game Boy Advance",5,1039,1039,1039,32,0,"Rail Shooter","Shin'en Multimedia","Majesco Entertainment","2001-05-29"
131,6161,"Scurge: Hive","Game Boy Advance",5,1018,1018,1018,46,0,"Metroidvania","Orbital Media","SouthPeak Interactive","2006-10-31"
132,29025,"~Homebrew~ Apotris","Game Boy Advance",5,1011,1011,1011,53,0,"","Apostolos Kouzoukos","Apostolos Kouzoukos","2022-05-04"
133,5441,"Baldur's Gate: Dark Alliance","Game Boy Advance",5,987,987,987,39,0,"Action RPG, Hack & Slash","Magic Pockets","Destination Software","2004-02-10"
134,22834,"~Hack~ Castlevania: Aria of Sorrow Reprise","Game Boy Advance",5,985,985,985,49,0,"","Xanthus","","2023-02-19"
135,7854,"X-Men: Reign of Apocalypse","Game Boy Advance",5,959,959,959,32,0,"Beat 'em Up","Digital Eclipse","Activision","2001-09-25"
136,2155,"TMNT","Game Boy Advance",5,957,957,957,38,0,"","Ubisoft Montreal","Ubisoft","2007-03-20"
137,9595,"~Hack~ Pokémon Adventure: Red Chapter","Game Boy Advance",5,954,954,954,134,0,"Turn-Based RPG","Aethestode","","2019-01-30"
138,17561,"~Hack~ Samus Goes to the Fridge to Get a Glass of Milk","Game Boy Advance",5,954,954,954,7,0,"","Hacker - kkzero","Hack - Metroid Fusion","2020-03-02"
139,6663,"Star Wars - Episode III: Revenge of the Sith","Game Boy Advance",5,953,953,953,73,0,"Action, Adventure","Ubisoft","Ubisoft","2005-05-04"
140,5179,"Sigma Star Saga","Game Boy Advance",5,920,920,920,89,0,"","WayForward","Namco","2005-08-16"
141,29837,"Who Wants to Be a Millionaire: 2nd Edition","Game Boy Advance",5,913,913,913,7,0,"Game Show, Trivia","Hothouse Creations","Zoo Digital Publishing | Zushi Games","2004-10-15"
142,796,"Spyro 2: Season of Flame","Game Boy Advance",5,904,904,904,46,0,"2.5D Platforming","Digital Eclipse","Universal Interactive","2002-09-25"
143,8010,"~Homebrew~ Flappy Bird","Game Boy Advance",5,861,861,861,11,0,"Endless Runner","Jay Van Hutten","Jay Van Hutten","2014-12-29"
144,5119,"Tokyo Xtreme Racer Advance","Game Boy Advance",5,837,837,837,41,0,"Arcade Racing","David A. Palmer Productions","Crave Entertainment","2005-04-20"
145,29874,"~Demo~ WarioWare, Inc.: Trial Version","Game Boy Advance",5,811,811,811,8,0,"Minigames","Nintendo","Nintendo","2003-05-30"
146,2509,"River City Ransom EX","Game Boy Advance",5,811,811,811,49,0,"Beat 'em Up","Million","Atlus","2004-05-26"
147,2540,"The Simpsons: Road Rage","Game Boy Advance",5,808,808,808,36,0,"Arcade Racing","Radical Entertainment, Fox Interactive, Altron","Electronic Arts, THQ","2001-11-24"
148,5491,"Digimon Battle Spirit 2","Game Boy Advance",5,805,805,805,45,0,"Platform Fighting","Dimps","Bandai","2003-09-24"
149,2506,"Teenage Mutant Ninja Turtles","Game Boy Advance",5,800,800,800,29,0,"","Konami","Konami","2003-10-31"
150,5284,"Spider-Man","Game Boy Advance",5,799,799,799,40,0,"Action","Digital Eclipse Software","Activision","2002-04-16"
